Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,23.0,1.0,23.0,23.0,0.1,3298.114100099699,0.0,0.0,0.006371259689331055,,,,,,,,,,,,,,,,,,,,,1231.21298515363,1025.95214464414,3076.1505086362245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,53.0,2.0,30.0,53.0,0.1,4982.882462733127,0.0,0.0,3.0504281520843506,,,,,,,,,,,,,,,,,,,,,1682.6822078630632,1389.3022156986206,4569.00091865545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,109.0,3.0,56.0,109.0,0.1,10276.139837930008,0.0,0.0,8.490144968032837,,,,,,,,,,,,,,,,,,,,,3371.1283944869597,2597.0955401975275,8558.62456587829,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,163.0,4.0,54.0,163.0,0.1,11003.611331314763,0.0,0.0,13.547147274017334,,,,,,,,,,,,,,,,,,,,,4826.562597190305,2507.539602940997,8567.766073698594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,194.0,5.0,31.0,194.0,0.1,7298.450928589995,0.0,0.0,16.677666425704956,,,,,,,,,,,,,,,,,,,,,2574.834325585321,2132.5388441243604,6632.233739065957,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,234.0,6.0,40.0,234.0,0.1,5113.990536423826,0.0,0.0,20.538912296295166,,,,,,,,,,,,,,,,,,,,,1546.3439094170722,1168.6596084608434,4586.728877315577,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,256.0,7.0,22.0,256.0,0.1,8355.322096465228,0.0,0.0,22.83644938468933,,,,,,,,,,,,,,,,,,,,,3252.4636826842643,2776.2765874297334,7794.898567773381,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,277.0,8.0,21.0,277.0,0.1,5241.780841763535,0.0,0.0,25.274986743927002,,,,,,,,,,,,,,,,,,,,,1850.3422429185878,1618.6503137422105,4951.74877129949,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,303.0,9.0,26.0,303.0,0.1,5644.552507880927,0.0,0.0,27.980207204818726,,,,,,,,,,,,,,,,,,,,,2107.5570419164287,1779.3230909387798,5200.069051099537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,376.0,10.0,73.0,376.0,0.1,12847.130413345218,0.0,0.0,34.73654079437256,,,,,,,,,,,,,,,,,,,,,4450.889028452781,2720.554963560831,9792.859323104462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,405.0,11.0,29.0,405.0,0.1,7467.638220878752,0.0,0.0,37.6878924369812,,,,,,,,,,,,,,,,,,,,,2889.609190712686,2086.617413151064,6764.260336263716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,438.0,12.0,33.0,438.0,0.1,6141.644214188724,0.0,0.0,41.15009641647339,,,,,,,,,,,,,,,,,,,,,2261.459890798348,1768.8563791037157,5504.910162458188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,463.0,13.0,25.0,463.0,0.1,6044.7576864412185,0.0,0.0,43.801612854003906,,,,,,,,,,,,,,,,,,,,,2463.892739984405,1723.2126254642305,5539.010816697393,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,499.0,14.0,36.0,499.0,0.1,5359.319954328535,0.0,0.0,47.39314842224121,,,,,,,,,,,,,,,,,,,,,2420.6174036237044,1524.000793649856,4579.020190821344,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,535.0,15.0,36.0,535.0,0.1,5841.3655651214995,0.0,0.0,50.93139410018921,,,,,,,,,,,,,,,,,,,,,2759.3547144189156,1436.5792923218207,4946.431861984172,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,551.0,16.0,16.0,551.0,0.1,1487.1135390870718,0.0,0.0,52.7453510761261,,,,,,,,,,,,,,,,,,,,,744.7168523002931,487.07502328870765,1395.733948289996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,569.0,17.0,18.0,569.0,0.1,3639.276575534231,0.0,0.0,55.0290265083313,,,,,,,,,,,,,,,,,,,,,1535.0996059390518,1068.310912290825,3431.240329012551,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,600.0,18.0,31.0,600.0,0.1,5298.462494882076,0.0,0.0,58.179083824157715,,,,,,,,,,,,,,,,,,,,,1944.8995394489305,1664.636978092487,4790.882193299567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,623.0,19.0,23.0,623.0,0.1,2758.3133563703964,0.0,0.0,60.57145977020264,,,,,,,,,,,,,,,,,,,,,1407.0625899685233,767.9025317636202,2484.1230085477355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,684.0,20.0,61.0,684.0,0.1,15257.85636854383,0.0,0.0,66.34048318862915,,,,,,,,,,,,,,,,,,,,,6500.655448248654,3512.2748697145507,11521.739154282368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,36.0,1.0,36.0,720.0,0.1,8439.196873672514,0.0,0.0,137.47962713241577,,,,,,,,,,,,,,,,,,,,,3337.198047209926,2343.823832074235,7384.762347389999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,51.0,2.0,15.0,735.0,0.1,1572.247822405834,0.0,0.0,139.59668827056885,,,,,,,,,,,,,,,,,,,,,539.0781520586471,524.206649725197,1521.667278437952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,73.0,3.0,22.0,757.0,0.1,4053.6222457631816,0.0,0.0,142.2925670146942,,,,,,,,,,,,,,,,,,,,,1861.0163150259398,1005.5958392152572,3718.190650400443,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,101.0,4.0,28.0,785.0,0.1,4020.582992688164,0.0,0.0,145.6482903957367,,,,,,,,,,,,,,,,,,,,,1660.58035769733,941.9942064154554,3627.8139909528727,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
